pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,error
WOOUSDT-XTZUSDT,08/02-10/31,-0.21955834329128265,0.014939213171601295,1,-0.21955834329128265,0,2,2881,0.0,-0.21218080818653107,
ADAUSDT-PSGUSDT,08/02-10/31,-3.045316696166992,0.33906346559524536,18,-0.16918426752090454,10,26,2881,1.3732380867004395,-4.458204746246338,
BATUSDT-LTCUSDT,08/02-10/31,2.7634387016296387,0.32362934947013855,21,0.13159231841564178,13,29,2881,2.109592914581299,-1.9299875497817993,
GMTUSDT-UNIUSDT,08/02-10/31,3.5198469161987305,0.7466854453086853,22,0.1599930375814438,14,30,2881,4.350492477416992,-3.031449794769287,
MVUSDT-TWTUSDT,08/02-10/31,0.5283939242362976,0.016544032841920853,1,0.5283939242362976,1,1,2881,0.5363128781318665,-0.007918949238955975,
MVUSDT-SFUNDUSDT,08/02-10/31,0.773761510848999,0.004287593066692352,1,0.773761510848999,1,1,2881,0.7756571173667908,-0.0018956295680254698,
OASUSDT-TRVLUSDT,08/02-10/31,-2.1821610927581787,0.551831066608429,22,-0.0991891399025917,7,37,2881,2.0432443618774414,-2.7566351890563965,
ROSEUSDT-XEMUSDT,08/02-10/31,-1.2753140926361084,0.44200068712234497,15,-0.08502093702554703,8,22,2881,1.400855541229248,-1.8329269886016846,
ONEUSDT-TELUSDT,08/02-10/31,11.5477933883667,0.8508509397506714,22,0.5248997211456299,10,34,2881,8.334548950195312,-1.7167466878890991,
LTCBTC-LUNCUSDC,08/02-10/31,1.1804752349853516,0.606677770614624,11,0.10731592774391174,7,15,2881,0.6430549025535583,-0.5547631978988647,
LUNCUSDT-RVNUSDT,08/02-10/31,-4.724865436553955,0.46111375093460083,18,-0.2624925374984741,10,26,2881,1.7220009565353394,-5.835034370422363,
RPLUSDT-SDUSDT,08/02-10/31,-8.88449478149414,0.4581432640552521,12,-0.7403745651245117,3,21,2881,1.3759404420852661,-6.6315083503723145,
ETCUSDT-XRPUSDT,08/02-10/31,2.3652353286743164,0.22242125868797302,25,0.09460940957069397,15,35,2881,1.4837713241577148,-0.916612982749939,
ARUSDT-MANAUSDT,08/02-10/31,-6.664236068725586,2.154200553894043,20,-0.3332118093967438,13,27,2881,3.4455528259277344,-15.204445838928223,
HNTUSDT-MDAOUSDT,08/02-10/31,4.785789966583252,1.3483655452728271,22,0.21753591299057007,12,32,2881,3.968601703643799,-2.521101474761963,
INTERUSDT-XRPUSDT,08/02-10/31,1.795928716659546,0.3180926442146301,29,0.06192857772111893,15,43,2881,2.623495578765869,-3.5642056465148926,
INTERUSDT-ZILUSDT,08/02-10/31,2.461599826812744,0.3209436237812042,29,0.08488275110721588,14,44,2881,1.5880893468856812,-0.2690906524658203,
PSGUSDT-SDUSDT,08/02-10/31,-0.2599393129348755,0.21970762312412262,10,-0.02599393203854561,2,18,2881,0.25059717893600464,-0.35828694701194763,
INTERUSDT-WAVESUSDT,08/02-10/31,-0.0411030650138855,0.2433066964149475,23,-0.001787089742720127,5,41,2881,0.37398064136505127,-0.2289617508649826,
AFCUSDT-AVAXUSDT,08/02-10/31,-0.14402543008327484,0.013279290869832039,1,-0.14402543008327484,0,2,2881,0.0,-0.1374446153640747,
QTUMUSDT-STXUSDT,08/02-10/31,4.149742126464844,0.5063256025314331,14,0.29641014337539673,8,20,2881,2.5543510913848877,-3.1151885986328125,
ETHWUSDT-GMTUSDT,08/02-10/31,15.168025016784668,0.6293951869010925,22,0.6894556879997253,17,27,2881,3.2163915634155273,-1.3649424314498901,
SUSHIUSDT-UMAUSDT,08/02-10/31,-5.643356800079346,0.430536687374115,18,-0.31351983547210693,9,27,2881,1.1545627117156982,-4.88386869430542,
HFTUSDT-SFUNDUSDT,08/02-10/31,-3.5854804515838623,1.1385964155197144,22,-0.16297638416290283,10,34,2881,2.4926352500915527,-2.691633701324463,
HFTUSDT-JUVUSDT,08/02-10/31,14.447021484375,1.2174174785614014,24,0.601959228515625,16,32,2881,12.116180419921875,-2.3630104064941406,
HFTUSDT-SUIUSDC,08/02-10/31,3.0917181968688965,1.7994976043701172,23,0.13442252576351166,12,34,2881,4.194394588470459,-2.132347583770752,
HFTUSDT-MOVRUSDT,08/02-10/31,8.942951202392578,1.1527082920074463,24,0.3726229667663574,17,31,2881,1.9293864965438843,-2.3843679428100586,
GODSUSDT-HBARUSDT,08/02-10/31,-0.3998246192932129,4.993860244750977,47,-0.008506907150149345,23,71,2881,31.682220458984375,-21.233919143676758,
MANAUSDT-XRPUSDT,08/02-10/31,-1.3997479677200317,0.9686030149459839,18,-0.07776377350091934,7,29,2881,8.56385612487793,-2.2024333477020264,
ADAUSDC-RPLUSDT,08/02-10/31,-5.503611087799072,0.40589967370033264,18,-0.30575618147850037,9,27,2881,2.0377845764160156,-7.398480415344238,
BATUSDT-PEOPLEUSDT,08/02-10/31,0.5515851974487305,0.369185209274292,19,0.029030799865722656,12,26,2881,1.5248591899871826,-1.8978052139282227,
GMTUSDC-UNIUSDT,08/02-10/31,0.27175021171569824,0.6942384243011475,22,0.01235228218138218,11,33,2881,3.236053466796875,-3.3210060596466064,
GMTUSDT-SANDUSDT,08/02-10/31,5.0499958992004395,0.6596810817718506,16,0.31562474370002747,12,20,2881,1.5704355239868164,-1.0466907024383545,
EVERUSDT-RPLUSDT,08/02-10/31,-2.9011964797973633,0.8401728868484497,14,-0.20722831785678864,6,22,2881,4.857903957366943,-3.4375722408294678,
GRTUSDT-RVNUSDT,08/02-10/31,-4.203004837036133,0.5350630283355713,17,-0.24723558127880096,9,25,2881,1.135118842124939,-3.3516764640808105,
DAIUSDT-QTUMUSDT,08/02-10/31,0.4162524342536926,0.005684651900082827,2,0.2081262171268463,1,3,2881,0.42052796483039856,-0.0017888511065393686,
