s1,s2,reason
ACHUSDT,XRPUSDT,beta_out_of_range (0.05)
FLOKIUSDT,PEPEUSDT,beta_out_of_range (20.15)
ACHUSDT,XRPUSDC,beta_out_of_range (0.05)
GRTUSDT,WAVESUSDT,beta_out_of_range (0.06)
ROSEUSDT,SOLEUR,beta_out_of_range (0.00)
LDOUSDC,MKRUSDT,beta_out_of_range (0.00)
OASUSDT,STXUSDT,beta_out_of_range (0.05)
BICOUSDT,DOTBTC,beta_out_of_range (2032.00)
ERTHAUSDT,PYTHUSDT,beta_out_of_range (0.01)
RACAUSDT,XRPEUR,beta_out_of_range (0.00)
BONKUSDT,LADYSUSDT,beta_out_of_range (174.08)
CRVUSDT,GALAUSDT,beta_out_of_range (13.96)
LDOUSDT,MKRUSDT,beta_out_of_range (0.00)
KAVAUSDT,ZILUSDT,beta_out_of_range (26.91)
DGBUSDT,HFTUSDC,beta_out_of_range (0.02)
ARUSDT,FIDAUSDT,beta_out_of_range (15.75)
JASMYUSDT,SHIBUSDT,beta_out_of_range (658.38)
JASMYUSDT,SHIBUSDC,beta_out_of_range (658.60)
LTCEUR,RACAUSDT,beta_out_of_range (295351.49)
LINKUSDT,TWTUSDT,beta_out_of_range (10.96)
KAVAUSDT,SPELLUSDT,beta_out_of_range (1058.58)
MAGICUSDT,QNTUSDT,beta_out_of_range (0.01)
LINKUSDC,TWTUSDT,beta_out_of_range (10.96)
BONKUSDT,VINUUSDT,beta_out_of_range (805.25)
LUNCUSDT,TOKENUSDT,beta_out_of_range (0.00)
DGBUSDT,ENJUSDT,beta_out_of_range (0.02)
LUNCUSDC,TOKENUSDT,beta_out_of_range (0.00)
ALGOBTC,DOTUSDT,beta_out_of_range (0.00)
ALGOBTC,DOTUSDC,beta_out_of_range (0.00)
APEUSDC,XEMUSDT,beta_out_of_range (46.43)
TWTUSDT,XLMUSDT,beta_out_of_range (10.01)
CRVUSDT,LTCUSDT,beta_out_of_range (0.01)
ALGOUSDT,EGLDUSDT,beta_out_of_range (0.00)
ADAUSDC,NFTUSDT,beta_out_of_range (1741467.31)
ADAUSDT,NFTUSDT,beta_out_of_range (1742216.25)
ADAEUR,NFTUSDT,beta_out_of_range (1576833.32)
HFTUSDC,ZILUSDT,beta_out_of_range (14.61)
APTUSDC,RDNTUSDT,beta_out_of_range (35.68)
FXSUSDT,STETHUSDT,beta_out_of_range (0.01)
APTUSDT,RDNTUSDT,beta_out_of_range (35.61)
DGBUSDT,HFTUSDT,beta_out_of_range (0.02)
APEUSDT,XEMUSDT,beta_out_of_range (46.37)
ALGOBTC,IMXUSDT,beta_out_of_range (0.00)
BATUSDT,QTUMUSDT,beta_out_of_range (0.06)
ENJUSDT,ZILUSDT,beta_out_of_range (15.65)
CRVUSDT,LTCUSDC,beta_out_of_range (0.01)
HBARUSDT,IMXUSDT,beta_out_of_range (0.03)
BTTUSDT,XAVAUSDT,beta_out_of_range (0.00)
ACHUSDT,LTCUSDC,beta_out_of_range (0.00)
ETCUSDT,XLMUSDC,beta_out_of_range (215.41)
DOTBTC,SANDBTC,beta_out_of_range (17.59)
ETCUSDT,XLMUSDT,beta_out_of_range (215.80)
DOTBTC,EGLDUSDT,beta_out_of_range (0.00)
GLMRUSDT,ONEUSDT,beta_out_of_range (32.66)
ACHUSDT,LTCUSDT,beta_out_of_range (0.00)
CELOUSDT,ONEUSDT,beta_out_of_range (36.81)
AXSUSDT,GRTUSDT,beta_out_of_range (49.93)
TUSDUSDT,XETAUSDT,beta_out_of_range (0.01)
ARUSDT,BICOUSDT,beta_out_of_range (17.35)
BELUSDT,GALAUSDT,beta_out_of_range (16.09)
LRCUSDT,ONEUSDT,beta_out_of_range (11.97)
FLOWUSDT,SHIBUSDC,beta_out_of_range (102572.96)
APTUSDT,XTZUSDT,beta_out_of_range (11.91)
FLOWUSDT,SHIBUSDT,beta_out_of_range (102375.72)
SOLUSDC,SOLUSDT,half_life
ARBUSDC,ARBUSDT,half_life
AVAXUSDC,AVAXUSDT,half_life
DOTUSDC,DOTUSDT,half_life
ADAUSDC,ADAUSDT,half_life
OPUSDC,OPUSDT,half_life
BTCUSDC,BTCUSDT,half_life
WLDUSDC,WLDUSDT,half_life
ETHUSDC,ETHUSDT,half_life
ICPUSDC,ICPUSDT,half_life
LINKUSDC,LINKUSDT,half_life
APTUSDC,APTUSDT,half_life
SUIUSDC,SUIUSDT,half_life
MNTUSDC,MNTUSDT,half_life
SHIBUSDC,SHIBUSDT,half_life
LDOUSDC,LDOUSDT,half_life
MANAUSDC,MANAUSDT,half_life
GMTUSDC,GMTUSDT,half_life
DOGEUSDC,DOGEUSDT,half_life
SANDUSDC,SANDUSDT,half_life
XRPUSDC,XRPUSDT,half_life
LTCUSDC,LTCUSDT,half_life
FILUSDC,FILUSDT,half_life
LUNCUSDC,LUNCUSDT,half_life
APEUSDC,APEUSDT,half_life
TRXUSDC,TRXUSDT,half_life
ETHUSDC,STETHUSDT,half_life
ETHUSDT,STETHUSDT,half_life
BTCUSDC,WBTCUSDT,half_life
BTCUSDT,WBTCUSDT,half_life
CHZUSDC,CHZUSDT,half_life
XLMUSDC,XLMUSDT,half_life
APEXUSDC,APEXUSDT,half_life
HFTUSDC,HFTUSDT,half_life
USDCEUR,USDTEUR,half_life
ADAEUR,ADAUSDC,half_life
ADAEUR,ADAUSDT,half_life
DOGEEUR,DOGEUSDT,half_life
DOGEEUR,DOGEUSDC,half_life
BTCBRZ,BTCEUR,half_life
BTCBRZ,BTCUSDT,half_life
BTCBRZ,BTCUSDC,half_life
ETHDAI,ETHUSDT,half_life
ETHDAI,ETHUSDC,half_life
BTCBRZ,WBTCUSDT,half_life
ETHDAI,STETHUSDT,half_life
BTCDAI,BTCUSDC,half_life
BTCDAI,WBTCUSDT,half_life
BTCDAI,BTCUSDT,half_life
BTCBRZ,BTCDAI,half_life
ETHDAI,ETHEUR,half_life
BTCDAI,BTCEUR,half_life
KDAUSDT,MINAUSDT,half_life
GALAUSDT,RVNUSDT,half_life
THETAUSDT,XTZUSDT,half_life
SANDUSDC,XTZUSDT,half_life
SANDUSDT,XTZUSDT,half_life
BICOUSDT,FIDAUSDT,half_life
KAVAUSDT,QTUMUSDT,half_life
BICOUSDT,MDAOUSDT,half_life
JASMYUSDT,ZILUSDT,half_life
ENJUSDT,MANAUSDC,half_life
COMPUSDT,UNIUSDT,half_life
ENJUSDT,MANAUSDT,half_life
KAVAUSDT,TWTUSDT,half_life
CAKEUSDT,MINAUSDT,half_life
C98USDT,WAVESUSDT,half_life
CHZUSDT,MANAUSDC,half_life
CHZUSDC,MANAUSDC,half_life
FIDAUSDT,OMGUSDT,half_life
CHZUSDT,MANAUSDT,half_life
DGBUSDT,ZILUSDT,half_life
CHZUSDC,MANAUSDT,half_life
C98USDT,GLMRUSDT,half_life
