2026-01-18T10:38:31Z START queue=/opt/coint4/coint4/artifacts/wfa/aggregate/20260118_next4_fast/run_queue_next4_fast.csv parallel=1 heartbeat=30s idle_minutes=5 cpu_threshold=50
2026-01-18T11:12:08Z HEARTBEAT run_pid=1203 run_cpu=165% watcher_cpu=0% worker_pid=5589 worker_cpu=165% coint2_procs=1 cpu_total=165.0% idle_seconds=0
2026-01-18T11:12:38Z HEARTBEAT run_pid=1203 run_cpu=168% watcher_cpu=0% worker_pid=5589 worker_cpu=168% coint2_procs=1 cpu_total=168.0% idle_seconds=0
2026-01-18T11:13:08Z HEARTBEAT run_pid=1203 run_cpu=169% watcher_cpu=0% worker_pid=5589 worker_cpu=169% coint2_procs=1 cpu_total=169.0% idle_seconds=0
2026-01-18T11:13:38Z HEARTBEAT run_pid=1203 run_cpu=169% watcher_cpu=0% worker_pid=5589 worker_cpu=169% coint2_procs=1 cpu_total=169.0% idle_seconds=0
2026-01-18T11:14:08Z HEARTBEAT run_pid=1203 run_cpu=168% watcher_cpu=0% worker_pid=5589 worker_cpu=168% coint2_procs=1 cpu_total=168.0% idle_seconds=0
2026-01-18T11:14:38Z HEARTBEAT run_pid=1203 run_cpu=167% watcher_cpu=0% worker_pid=5589 worker_cpu=167% coint2_procs=1 cpu_total=167.0% idle_seconds=0
2026-01-18T11:15:08Z HEARTBEAT run_pid=1203 run_cpu=166% watcher_cpu=0% worker_pid=5589 worker_cpu=166% coint2_procs=1 cpu_total=166.0% idle_seconds=0
2026-01-18T11:15:38Z HEARTBEAT run_pid=1203 run_cpu=165% watcher_cpu=0% worker_pid=5589 worker_cpu=165% coint2_procs=1 cpu_total=165.0% idle_seconds=0
2026-01-18T11:16:08Z HEARTBEAT run_pid=1203 run_cpu=164% watcher_cpu=0% worker_pid=5589 worker_cpu=164% coint2_procs=1 cpu_total=164.0% idle_seconds=0
2026-01-18T11:16:38Z HEARTBEAT run_pid=1203 run_cpu=164% watcher_cpu=0% worker_pid=5589 worker_cpu=164% coint2_procs=1 cpu_total=164.0% idle_seconds=0
2026-01-18T11:17:08Z HEARTBEAT run_pid=1203 run_cpu=163% watcher_cpu=0% worker_pid=5589 worker_cpu=163% coint2_procs=1 cpu_total=163.0% idle_seconds=0
2026-01-18T11:17:39Z HEARTBEAT run_pid=1203 run_cpu=164% watcher_cpu=0% worker_pid=5589 worker_cpu=164% coint2_procs=1 cpu_total=164.0% idle_seconds=0
2026-01-18T11:18:09Z HEARTBEAT run_pid=1203 run_cpu=165% watcher_cpu=0% worker_pid=5589 worker_cpu=165% coint2_procs=1 cpu_total=165.0% idle_seconds=0
2026-01-18T11:18:39Z HEARTBEAT run_pid=1203 run_cpu=166% watcher_cpu=0% worker_pid=5589 worker_cpu=166% coint2_procs=1 cpu_total=166.0% idle_seconds=0
2026-01-18T11:19:09Z HEARTBEAT run_pid=1203 run_cpu=166% watcher_cpu=0% worker_pid=5589 worker_cpu=166% coint2_procs=1 cpu_total=166.0% idle_seconds=0
2026-01-18T11:19:39Z HEARTBEAT run_pid=1203 run_cpu=165% watcher_cpu=0% worker_pid=5589 worker_cpu=165% coint2_procs=1 cpu_total=165.0% idle_seconds=0
2026-01-18T11:20:09Z HEARTBEAT run_pid=1203 run_cpu=165% watcher_cpu=0% worker_pid=5589 worker_cpu=165% coint2_procs=1 cpu_total=165.0% idle_seconds=0
2026-01-18T11:20:39Z HEARTBEAT run_pid=1203 run_cpu=164% watcher_cpu=0% worker_pid=5589 worker_cpu=164% coint2_procs=1 cpu_total=164.0% idle_seconds=0
2026-01-18T11:21:09Z HEARTBEAT run_pid=1203 run_cpu=163% watcher_cpu=0% worker_pid=5589 worker_cpu=163% coint2_procs=1 cpu_total=163.0% idle_seconds=0
2026-01-18T11:21:39Z HEARTBEAT run_pid=1203 run_cpu=163% watcher_cpu=0% worker_pid=5589 worker_cpu=163% coint2_procs=1 cpu_total=163.0% idle_seconds=0
2026-01-18T11:22:09Z HEARTBEAT run_pid=1203 run_cpu=164% watcher_cpu=0% worker_pid=5589 worker_cpu=164% coint2_procs=1 cpu_total=164.0% idle_seconds=0
2026-01-18T11:22:40Z HEARTBEAT run_pid=1203 run_cpu=165% watcher_cpu=0% worker_pid=5589 worker_cpu=165% coint2_procs=1 cpu_total=165.0% idle_seconds=0
2026-01-18T11:23:10Z HEARTBEAT run_pid=1203 run_cpu=166% watcher_cpu=0% worker_pid=5589 worker_cpu=166% coint2_procs=1 cpu_total=166.0% idle_seconds=0
2026-01-18T11:23:40Z HEARTBEAT run_pid=1203 run_cpu=167% watcher_cpu=0% worker_pid=5589 worker_cpu=167% coint2_procs=1 cpu_total=167.0% idle_seconds=0
2026-01-18T11:24:10Z HEARTBEAT run_pid=1203 run_cpu=168% watcher_cpu=0% worker_pid=5589 worker_cpu=168% coint2_procs=1 cpu_total=168.0% idle_seconds=0
2026-01-18T11:24:40Z HEARTBEAT run_pid=1203 run_cpu=168% watcher_cpu=0% worker_pid=5589 worker_cpu=168% coint2_procs=1 cpu_total=168.0% idle_seconds=0
2026-01-18T11:25:10Z HEARTBEAT run_pid=1203 run_cpu=169% watcher_cpu=0% worker_pid=5589 worker_cpu=169% coint2_procs=1 cpu_total=169.0% idle_seconds=0
2026-01-18T11:25:40Z HEARTBEAT run_pid=1203 run_cpu=170% watcher_cpu=0% worker_pid=5589 worker_cpu=170% coint2_procs=1 cpu_total=170.0% idle_seconds=0
2026-01-18T11:26:10Z HEARTBEAT run_pid=1203 run_cpu=170% watcher_cpu=0% worker_pid=5589 worker_cpu=170% coint2_procs=1 cpu_total=170.0% idle_seconds=0
2026-01-18T11:26:40Z HEARTBEAT run_pid=1203 run_cpu=103% watcher_cpu=0% worker_pid=6787 worker_cpu=103% coint2_procs=1 cpu_total=103.0% idle_seconds=0
2026-01-18T11:27:10Z HEARTBEAT run_pid=1203 run_cpu=155% watcher_cpu=0% worker_pid=6787 worker_cpu=155% coint2_procs=1 cpu_total=155.0% idle_seconds=0
2026-01-18T11:27:40Z HEARTBEAT run_pid=1203 run_cpu=166% watcher_cpu=0% worker_pid=6787 worker_cpu=166% coint2_procs=1 cpu_total=166.0% idle_seconds=0
2026-01-18T11:28:11Z HEARTBEAT run_pid=1203 run_cpu=172% watcher_cpu=0% worker_pid=6787 worker_cpu=172% coint2_procs=1 cpu_total=172.0% idle_seconds=0
2026-01-18T11:28:41Z HEARTBEAT run_pid=1203 run_cpu=174% watcher_cpu=0% worker_pid=6787 worker_cpu=174% coint2_procs=1 cpu_total=174.0% idle_seconds=0
2026-01-18T11:29:11Z HEARTBEAT run_pid=1203 run_cpu=174% watcher_cpu=0% worker_pid=6787 worker_cpu=174% coint2_procs=1 cpu_total=174.0% idle_seconds=0
2026-01-18T11:29:41Z HEARTBEAT run_pid=1203 run_cpu=173% watcher_cpu=0% worker_pid=6787 worker_cpu=173% coint2_procs=1 cpu_total=173.0% idle_seconds=0
2026-01-18T11:30:11Z HEARTBEAT run_pid=1203 run_cpu=171% watcher_cpu=0% worker_pid=6787 worker_cpu=171% coint2_procs=1 cpu_total=171.0% idle_seconds=0
2026-01-18T11:30:41Z HEARTBEAT run_pid=1203 run_cpu=169% watcher_cpu=0% worker_pid=6787 worker_cpu=169% coint2_procs=1 cpu_total=169.0% idle_seconds=0
2026-01-18T11:31:11Z HEARTBEAT run_pid=1203 run_cpu=168% watcher_cpu=0% worker_pid=6787 worker_cpu=168% coint2_procs=1 cpu_total=168.0% idle_seconds=0
2026-01-18T11:31:41Z HEARTBEAT run_pid=1203 run_cpu=168% watcher_cpu=0% worker_pid=6787 worker_cpu=168% coint2_procs=4 cpu_total=451.3% idle_seconds=0
2026-01-18T11:32:11Z HEARTBEAT run_pid=1203 run_cpu=168% watcher_cpu=0% worker_pid=6787 worker_cpu=168% coint2_procs=1 cpu_total=168.0% idle_seconds=0
2026-01-18T11:32:41Z HEARTBEAT run_pid=1203 run_cpu=168% watcher_cpu=0% worker_pid=6787 worker_cpu=168% coint2_procs=1 cpu_total=168.0% idle_seconds=0
2026-01-18T11:33:11Z HEARTBEAT run_pid=1203 run_cpu=169% watcher_cpu=0% worker_pid=6787 worker_cpu=169% coint2_procs=1 cpu_total=169.0% idle_seconds=0
2026-01-18T11:33:42Z HEARTBEAT run_pid=1203 run_cpu=169% watcher_cpu=0% worker_pid=6787 worker_cpu=169% coint2_procs=1 cpu_total=169.0% idle_seconds=0
2026-01-18T11:34:12Z HEARTBEAT run_pid=1203 run_cpu=168% watcher_cpu=0% worker_pid=6787 worker_cpu=168% coint2_procs=1 cpu_total=168.0% idle_seconds=0
2026-01-18T11:34:42Z HEARTBEAT run_pid=1203 run_cpu=167% watcher_cpu=0% worker_pid=6787 worker_cpu=167% coint2_procs=1 cpu_total=167.0% idle_seconds=0
2026-01-18T11:35:12Z HEARTBEAT run_pid=1203 run_cpu=165% watcher_cpu=0% worker_pid=6787 worker_cpu=165% coint2_procs=1 cpu_total=165.0% idle_seconds=0
2026-01-18T11:35:42Z HEARTBEAT run_pid=1203 run_cpu=166% watcher_cpu=0% worker_pid=6787 worker_cpu=166% coint2_procs=1 cpu_total=166.0% idle_seconds=0
2026-01-18T11:36:12Z HEARTBEAT run_pid=1203 run_cpu=167% watcher_cpu=0% worker_pid=6787 worker_cpu=167% coint2_procs=1 cpu_total=167.0% idle_seconds=0
2026-01-18T11:36:42Z HEARTBEAT run_pid=1203 run_cpu=169% watcher_cpu=0% worker_pid=6787 worker_cpu=169% coint2_procs=1 cpu_total=169.0% idle_seconds=0
2026-01-18T11:37:12Z HEARTBEAT run_pid=1203 run_cpu=170% watcher_cpu=0% worker_pid=6787 worker_cpu=170% coint2_procs=1 cpu_total=170.0% idle_seconds=0
2026-01-18T11:37:42Z HEARTBEAT run_pid=1203 run_cpu=171% watcher_cpu=0% worker_pid=6787 worker_cpu=171% coint2_procs=1 cpu_total=171.0% idle_seconds=0
2026-01-18T11:38:12Z HEARTBEAT run_pid=1203 run_cpu=172% watcher_cpu=0% worker_pid=6787 worker_cpu=172% coint2_procs=1 cpu_total=172.0% idle_seconds=0
2026-01-18T11:38:43Z HEARTBEAT run_pid=1203 run_cpu=173% watcher_cpu=0% worker_pid=6787 worker_cpu=173% coint2_procs=1 cpu_total=173.0% idle_seconds=0
2026-01-18T11:39:13Z HEARTBEAT run_pid=1203 run_cpu=174% watcher_cpu=0% worker_pid=6787 worker_cpu=174% coint2_procs=1 cpu_total=174.0% idle_seconds=0
2026-01-18T11:39:43Z HEARTBEAT run_pid=1203 run_cpu=175% watcher_cpu=0% worker_pid=6787 worker_cpu=175% coint2_procs=1 cpu_total=175.0% idle_seconds=0
2026-01-18T11:40:13Z DONE rc=0
