s1,s2,reason
ETHUSDT,LTCUSDT,pvalue_0.106
ETHUSDT,LTCEUR,pvalue_0.153
ETHUSDT,LTCUSDC,pvalue_0.100
NEARUSDT,WAVESUSDT,hurst_too_high (0.57)
DOTUSDT,FILUSDT,low_correlation_0.44
DOGEEUR,MASKUSDT,hurst_too_high (0.53)
ETHUSDT,SUSHIUSDT,low_correlation_0.64
SANDUSDT,SUSHIUSDT,low_correlation_0.68
ARBUSDC,DOGEUSDT,pvalue_0.090
ANKRUSDT,SANDUSDC,pvalue_0.041
KSMUSDT,ONEUSDT,beta_out_of_range (1261.28)
ALGOUSDT,GMTUSDC,low_correlation_0.67
MANAUSDT,SUIUSDT,low_correlation_0.28
ADAUSDT,LTCUSDC,pvalue_0.877
BATUSDT,RVNUSDT,low_correlation_0.61
MANAUSDC,SUIUSDT,low_correlation_0.28
ETHUSDC,SUSHIUSDT,low_correlation_0.64
BATUSDT,ETCUSDT,pvalue_0.567
DOTUSDC,FILUSDC,low_correlation_0.45
ONEUSDT,SANDUSDT,hurst_too_high (0.96)
GMTUSDC,SUSHIUSDT,pvalue_0.743
ONEUSDT,SANDUSDC,hurst_too_high (0.98)
GALAUSDT,MANAUSDC,low_correlation_0.67
LRCUSDT,OMGUSDT,pvalue_0.227
ETHUSDT,LRCUSDT,beta_out_of_range (6574.49)
GALAUSDT,GMTUSDT,pvalue_0.038
ETHUSDC,LRCUSDT,beta_out_of_range (6567.80)
CELOUSDT,FLOWUSDT,pvalue_0.114
CELOUSDT,GMTUSDC,pvalue_0.157
ARBUSDT,DOGEUSDC,pvalue_0.078
ONEUSDT,SUSHIUSDT,pvalue_0.304
LRCUSDT,SANDUSDC,pvalue_0.078
ANKRUSDT,SANDUSDT,pvalue_0.040
FILUSDT,LTCEUR,pvalue_0.304
ADAEUR,UNIUSDT,low_correlation_0.02
SEIUSDT,SUIUSDC,hurst_too_high (0.91)
DOTUSDT,NEARUSDT,pvalue_0.433
FILUSDT,SHIBUSDC,low_correlation_0.49
LRCUSDT,SANDUSDT,pvalue_0.074
ICXUSDT,SANDUSDT,pvalue_0.184
GALAUSDT,MANAUSDT,low_correlation_0.67
FILUSDC,SHIBUSDC,low_correlation_0.49
ICXUSDT,SANDUSDC,pvalue_0.185
MANAUSDC,SUIUSDC,low_correlation_0.28
ARBUSDC,DOGEUSDC,pvalue_0.079
