s1,s2,reason
LTCUSDC,XLMUSDT,beta_out_of_range (511.88)
LTCUSDT,XECUSDT,beta_out_of_range (1487334.49)
APTUSDT,ONEUSDT,beta_out_of_range (450.14)
AXSUSDT,HBARUSDT,beta_out_of_range (131.86)
KSMUSDT,XLMUSDC,beta_out_of_range (451.66)
LTCUSDT,XLMUSDT,beta_out_of_range (510.72)
BTCUSDC,ETCUSDT,beta_out_of_range (2026.33)
SANDUSDC,STETHUSDT,beta_out_of_range (0.00)
ARBUSDT,XECUSDT,beta_out_of_range (43464.76)
SANDUSDT,STETHUSDT,beta_out_of_range (0.00)
AXSUSDT,DOGEUSDT,beta_out_of_range (104.05)
GALAUSDT,SHIBUSDT,beta_out_of_range (6673.84)
ETHUSDT,SANDUSDC,beta_out_of_range (3306.49)
ETHUSDT,SANDUSDT,beta_out_of_range (3309.06)
LTCUSDC,XLMUSDC,beta_out_of_range (510.51)
KSMUSDT,SHIBUSDC,beta_out_of_range (5034145.69)
ETHUSDC,SANDUSDC,beta_out_of_range (3310.53)
ETHUSDC,SANDUSDT,beta_out_of_range (3313.09)
DGBUSDT,XECUSDT,beta_out_of_range (284.21)
PEOPLEUSDT,SHIBUSDC,beta_out_of_range (2397.84)
ANKRUSDT,LTCEUR,beta_out_of_range (0.00)
AXSUSDT,DOGEUSDC,beta_out_of_range (103.94)
LTCUSDT,XLMUSDC,beta_out_of_range (509.35)
GALAUSDT,SHIBUSDC,beta_out_of_range (6667.11)
LTCEUR,XECUSDT,beta_out_of_range (1174346.65)
KSMUSDT,SHIBUSDT,beta_out_of_range (5038019.18)
QTUMUSDT,ZILUSDT,beta_out_of_range (195.14)
KAVAUSDT,LUNCUSDT,beta_out_of_range (4903.64)
PEOPLEUSDT,SHIBUSDT,beta_out_of_range (2399.78)
CELOUSDT,XECUSDT,beta_out_of_range (21124.75)
ACHUSDT,COMPUSDT,beta_out_of_range (0.00)
ARBUSDC,DGBUSDT,beta_out_of_range (145.07)
CELOUSDT,SHIBUSDC,beta_out_of_range (78866.07)
CELOUSDT,SHIBUSDT,beta_out_of_range (78916.36)
ARBUSDT,DGBUSDT,beta_out_of_range (144.88)
ETHEUR,LDOUSDT,beta_out_of_range (426.77)
AXSUSDT,DOGEEUR,beta_out_of_range (122.88)
ETHEUR,PEPEUSDT,beta_out_of_range (598926730.91)
LUNCUSDT,SANDUSDT,beta_out_of_range (0.00)
ETCUSDT,HBARUSDT,beta_out_of_range (281.12)
LTCEUR,ZILUSDT,beta_out_of_range (1223.37)
ETHEUR,LDOUSDC,beta_out_of_range (426.49)
ETCUSDT,XLMUSDT,beta_out_of_range (211.77)
BTCUSDT,DOTUSDT,beta_out_of_range (5714.88)
BTCUSDT,DOTUSDC,beta_out_of_range (5710.04)
LUNCUSDT,SANDUSDC,beta_out_of_range (0.00)
STXUSDT,XECUSDT,beta_out_of_range (25769.80)
APTUSDC,RVNUSDT,beta_out_of_range (523.70)
APTUSDT,RVNUSDT,beta_out_of_range (523.23)
BNBUSDT,HBARUSDT,beta_out_of_range (2186.11)
FILUSDT,JASMYUSDT,beta_out_of_range (708.70)
RDNTUSDT,SHIBUSDT,beta_out_of_range (27331.95)
DGBUSDT,LTCUSDT,beta_out_of_range (0.00)
DGBUSDT,LTCUSDC,beta_out_of_range (0.00)
CRVUSDT,SHIBUSDT,beta_out_of_range (86986.47)
BTCUSDC,DOTUSDC,beta_out_of_range (5716.34)
BTCUSDC,DOTUSDT,beta_out_of_range (5721.17)
RDNTUSDT,SHIBUSDC,beta_out_of_range (27312.36)
CRVUSDT,SHIBUSDC,beta_out_of_range (86911.60)
JASMYUSDT,STETHUSDT,beta_out_of_range (0.00)
ETHUSDC,JASMYUSDT,beta_out_of_range (208247.60)
ANKRUSDT,LTCUSDC,beta_out_of_range (0.00)
ANKRUSDT,LTCUSDT,beta_out_of_range (0.00)
COMPUSDT,WOOUSDT,beta_out_of_range (139.36)
ETHUSDT,JASMYUSDT,beta_out_of_range (208009.92)
ENSUSDT,ZILUSDT,beta_out_of_range (314.09)
LTCEUR,XLMUSDT,beta_out_of_range (414.50)
DOTUSDT,PEOPLEUSDT,beta_out_of_range (324.61)
DOTUSDC,PEOPLEUSDT,beta_out_of_range (324.89)
FILUSDC,JASMYUSDT,beta_out_of_range (709.21)
COMPUSDT,ZILUSDT,beta_out_of_range (2173.51)
APTUSDT,SHIBUSDT,beta_out_of_range (1423509.26)
APTUSDT,SHIBUSDC,beta_out_of_range (1422306.24)
DOTUSDT,PEPEUSDT,beta_out_of_range (2286886.89)
MANAUSDT,PEPEUSDT,beta_out_of_range (248263.51)
LTCEUR,XLMUSDC,beta_out_of_range (413.35)
APTUSDC,SHIBUSDC,beta_out_of_range (1423591.97)
MASKUSDT,ZILUSDT,beta_out_of_range (176.62)
CRVUSDT,ETHEUR,beta_out_of_range (0.00)
FLOWUSDT,JASMYUSDT,beta_out_of_range (108.38)
BELUSDT,LUNCUSDC,beta_out_of_range (2048.01)
ETCUSDT,XLMUSDC,beta_out_of_range (211.20)
APTUSDC,SHIBUSDT,beta_out_of_range (1424768.75)
ADAEUR,SHIBUSDC,beta_out_of_range (68539.90)
HBARUSDT,LUNCUSDT,beta_out_of_range (366.88)
LTCUSDT,ZILUSDT,beta_out_of_range (1653.72)
SNXUSDT,XECUSDT,beta_out_of_range (155435.19)
BTCUSDT,LTCUSDC,beta_out_of_range (920.49)
ADAEUR,ETHUSDT,beta_out_of_range (0.00)
ETCUSDT,SHIBUSDT,beta_out_of_range (2603705.35)
ADAEUR,SHIBUSDT,beta_out_of_range (68600.84)
ANKRUSDT,COMPUSDT,beta_out_of_range (0.00)
DOTUSDC,PEPEUSDT,beta_out_of_range (2288654.68)
LTCUSDC,ZILUSDT,beta_out_of_range (1657.30)
OMGUSDT,SHIBUSDC,beta_out_of_range (126157.46)
ETCUSDT,SHIBUSDC,beta_out_of_range (2601336.43)
RVNUSDT,XECUSDT,beta_out_of_range (666.61)
BTCUSDT,LTCUSDT,beta_out_of_range (921.88)
ADAEUR,STETHUSDT,beta_out_of_range (0.00)
STETHUSDT,WAVESUSDT,beta_out_of_range (626.44)
ADAEUR,ETHUSDC,beta_out_of_range (0.00)
MANAUSDC,PEPEUSDT,beta_out_of_range (248411.08)
FLOWUSDT,SHIBUSDT,beta_out_of_range (140665.24)
ETHEUR,RDNTUSDT,beta_out_of_range (5586.51)
OMGUSDT,SHIBUSDT,beta_out_of_range (126258.05)
ETCUSDT,WBTCUSDT,beta_out_of_range (0.00)
BTCUSDC,LTCUSDC,beta_out_of_range (921.59)
HBARUSDT,PEPEUSDT,beta_out_of_range (22112.99)
GRTUSDT,SHIBUSDT,beta_out_of_range (34145.18)
FLOWUSDT,SHIBUSDC,beta_out_of_range (140532.50)
